ID,Type,Upload Failed,menu item,Meal Category (from menu item),Meal Type (from menu item),Nutrition (from menu item),Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: neve_meta_enable_content_width,Meta: neve_meta_content_width
1,simple,,Caribbean Jerk Chicken Bowl,Protein Plus,Entree,Protein : 32g | Carbs : 45g,Caribbean Jerk Chicken Bowl,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
90,simple,,Caribbean Jerk Chicken Bowl,Protein Plus,Entree,Protein : 32g | Carbs : 45g,Caribbean Jerk Chicken Bowl,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
32,simple,,Cheesey Bacon Chicken,Keto,Entree,Protein : 39g | Net Carbs : 6g,Cheesey Bacon Chicken,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
82,simple,,Cilantro-Lime Salmon with Roasted Broccoli,Paleo,Entree,Protein : 34g | Carbs : 29g,Cilantro-Lime Salmon with Roasted Broccoli,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
44,simple,,Cilantro-Lime Salmon with Roasted Broccoli,Paleo,Entree,Protein : 34g | Carbs : 29g,Cilantro-Lime Salmon with Roasted Broccoli,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
98,simple,,Cilantro-Lime Salmon with Roasted Broccoli,Paleo,Entree,Protein : 34g | Carbs : 29g,Cilantro-Lime Salmon with Roasted Broccoli,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
89,simple,,Classic Egg and Potato,Whole 30,Breakfast,Protein : -g | Carbs : -g,Classic Egg and Potato,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Whole 30,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
126,simple,,Cod (16oz),Bulk,Bulk,Protein : 20g | Carbs : 0g,Cod (16oz),1,0,visible,,,,,,,,,,0,0,,,,,,,,,Bulk,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
80,simple,,Curry Grilled Chicken,Keto,Entree,Protein : 38g | Net Carbs : 9g,Curry Grilled Chicken,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
33,simple,,Curry Grilled Chicken,Keto,Entree,Protein : 38g | Net Carbs : 9g,Curry Grilled Chicken,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
120,simple,,Diced Chicken,Bulk,Bulk,Protein : 26g | Carbs : 2g,Diced Chicken,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Bulk,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
123,simple,,Elk (16oz),Bulk,Bulk,Protein : 35g | Carbs : 0g,Elk (16oz),1,0,visible,,,,,,,,,,0,0,,,,,,,,,Bulk,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
57,simple,,Fettuccini Alfredo with Plant Based Meat Balls,Standard Vegan,Entree,Protein : 15g | Carbs : 44g,Fettuccini Alfredo with Plant Based Meat Balls,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
117,simple,,Flat Iron Steak (16oz),Bulk,Bulk,Protein : 28g | Carbs : 0g,Flat Iron Steak (16oz),1,0,visible,,,,,,,,,,0,0,,,,,,,,,Bulk,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
49,simple,,Ginger Sesame Steak With Sweet Potatoes,Paleo,Entree,Protein : 30g | Carbs : 25g,Ginger Sesame Steak With Sweet Potatoes,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
37,simple,,Ground Beef Frittata With Asparagus And Mushroom,Keto,Breakfast,Protein : 35g | Carbs : 4g,Ground Beef Frittata With Asparagus And Mushroom,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
39,simple,,Ground Beef Frittata With Bell Peppers,Keto,Breakfast,Protein : 34g | Carbs : 6g,Ground Beef Frittata With Bell Peppers,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
54,simple,,Ground Beef Scramble With Asparagus And Mushroom,Protein Plus,Breakfast,Protein : 35g | Carbs : 8g,Ground Beef Scramble With Asparagus And Mushroom,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
21,simple,,Ground Beef Scramble With Asparagus And Mushroom,Protein Plus,Breakfast,Protein : 35g | Carbs : 8g,Ground Beef Scramble With Asparagus And Mushroom,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
96,simple,,Guajillo Chicken With Cauliflower And Grape Tomato,Paleo,Entree,Protein : 28g | Carbs : 22g,Guajillo Chicken With Cauliflower And Grape Tomato,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
48,simple,,Guajillo Chicken With Cauliflower And Grape Tomato,Paleo,Entree,Protein : 28g | Carbs : 22g,Guajillo Chicken With Cauliflower And Grape Tomato,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
112,simple,,Harvest Squash Bowl With Basil Walnut Pesto,Standard Vegan,Entree,Protein : 20g | Carbs : 43g,Harvest Squash Bowl With Basil Walnut Pesto,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
65,simple,,Harvest Squash Bowl With Basil Walnut Pesto,Standard Vegan,Entree,Protein : 20g | Carbs : 43g,Harvest Squash Bowl With Basil Walnut Pesto,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
60,simple,,Korean Mushroom 'Bulgolgi' Bowl,Standard Vegan,Entree,Protein : 11g | Carbs : 58g,Korean Mushroom 'Bulgolgi' Bowl,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
45,simple,,Kung Pao Grilled Chicken With Broccoli and Roasted Sweet Potato,Paleo,Entree,Protein : 39g | Carbs : 32g,Kung Pao Grilled Chicken With Broccoli and Roasted Sweet Potato,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
59,simple,,Lentil Power-Bowl with Herb Roasted Potatoes and Plant-Based Beyond Meatballs,Standard Vegan,Entree,Protein : 18g | Carbs : 51g,Lentil Power-Bowl with Herb Roasted Potatoes and Plant-Based Beyond Meatballs,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
108,simple,,Lentil Power-Bowl with Herb Roasted Potatoes and Plant-Based Beyond Meatballs,Standard Vegan,Entree,Protein : 18g | Carbs : 51g,Lentil Power-Bowl with Herb Roasted Potatoes and Plant-Based Beyond Meatballs,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
115,simple,,Mango Chia,Low Carb Vegan,Breakfast,Protein : 12g | Carbs : 38g,Mango Chia,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Low Carb Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
7,simple,,Maple Glazed Grilled Chicken With Brown Rice,Protein Plus,Entree,Protein : 31g | Carbs : 41g,Maple Glazed Grilled Chicken With Brown Rice,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
55,simple,,Maple Sausage Egg White Disc with Zucchini and Tomato,Protein Plus,Breakfast,Protein : 27g | Carbs : 14g,Maple Sausage Egg White Disc with Zucchini and Tomato,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
16,simple,,Maple Sausage Egg White Disc with Zucchini and Tomato,Protein Plus,Breakfast,Protein : 27g | Carbs : 14g,Maple Sausage Egg White Disc with Zucchini and Tomato,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
30,simple,,Mediterranean Salmon,Keto,Entree,Protein : 36g | Net Carbs : 6g,Mediterranean Salmon,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
97,simple,,Mediterranean Salmon,Keto,Entree,Protein : 36g | Net Carbs : 6g,Mediterranean Salmon,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
79,simple,,Mexican Bowl,Keto,Entree,Protein : 34g | Net Carbs : 7g,Mexican Bowl,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
31,simple,,Mexican Bowl,Keto,Entree,Protein : 34g | Net Carbs : 7g,Mexican Bowl,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
100,simple,,Moroccan Lentil And Tomato Soup With Side of Grilled Chicken,Mediterranean Diet,Entree,Protein : 9g | Carbs : 28g,Moroccan Lentil And Tomato Soup With Side of Grilled Chicken,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Mediterranean Diet,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
109,simple,,Mushroom Lentils with Veggies,Standard Vegan,Entree,Protein : 18g | Carbs : 42g,Mushroom Lentils with Veggies,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
64,simple,,Mushroom Lentils with Veggies,Standard Vegan,Entree,Protein : 18g | Carbs : 42g,Mushroom Lentils with Veggies,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
67,simple,,Oatmeal Flip Cup with Chocolate-Coconut and Date,Protein Plus,Breakfast,Protein : 9g | Carbs : 62g,Oatmeal Flip Cup with Chocolate-Coconut and Date,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
13,simple,,Oatmeal Flip Cup with Chocolate-Coconut and Date,Protein Plus,Breakfast,Protein : 9g | Carbs : 62g,Oatmeal Flip Cup with Chocolate-Coconut and Date,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
116,simple,,Pineapple Coconut Chia,Low Carb Vegan,Breakfast,Protein : 8g | Carbs : 53g,Pineapple Coconut Chia,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Low Carb Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
68,simple,,Pineapple Oatmeal Flip Cup with Pepitas and Chili Lime Almonds,Protein Plus,Breakfast,Protein : 12g | Carbs : 39g,Pineapple Oatmeal Flip Cup with Pepitas and Chili Lime Almonds,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
14,simple,,Pineapple Oatmeal Flip Cup with Pepitas and Chili Lime Almonds,Protein Plus,Breakfast,Protein : 12g | Carbs : 39g,Pineapple Oatmeal Flip Cup with Pepitas and Chili Lime Almonds,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
61,simple,,Plant-Based Chickn with Tomato Rice and Creamy South Of The Border Aioli,Standard Vegan,Entree,Protein : 23g | Carbs : 43g,Plant-Based Chickn with Tomato Rice and Creamy South Of The Border Aioli,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
63,simple,,Quinoa and Veggie Bowl with Plant-Based Chickn,Standard Vegan,Entree,Protein : 26g | Carbs : 49g,Quinoa and Veggie Bowl with Plant-Based Chickn,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
107,simple,,Quinoa and Veggie Bowl with Plant-Based Chickn,Standard Vegan,Entree,Protein : 26g | Carbs : 49g,Quinoa and Veggie Bowl with Plant-Based Chickn,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Standard Vegan,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
42,simple,,Red Pepper Grilled Chicken With Sweet Potatoes,Paleo,Entree,Protein : 41g | Carbs : 29g,Red Pepper Grilled Chicken With Sweet Potatoes,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
93,simple,,Red Pepper Grilled Chicken With Sweet Potatoes,Paleo,Entree,Protein : 41g | Carbs : 29g,Red Pepper Grilled Chicken With Sweet Potatoes,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
78,simple,,Red Pepper Grilled Chicken With Sweet Potatoes,Paleo,Entree,Protein : 41g | Carbs : 29g,Red Pepper Grilled Chicken With Sweet Potatoes,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
36,simple,,Roasted Chicken With Garden Vegetables,Keto,Entree,Protein : 31g | Net Carbs : 8g,Roasted Chicken With Garden Vegetables,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
84,simple,,Roasted Chicken With Garden Vegetables,Keto,Entree,Protein : 31g | Net Carbs : 8g,Roasted Chicken With Garden Vegetables,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
2,simple,,Roasted Shrimp and Jalapeno Cheddar Hemp Grits Bowl,Protein Plus,Entree,Protein : 40g | Carbs : 14g,Roasted Shrimp and Jalapeno Cheddar Hemp Grits Bowl,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
91,simple,,Roasted Shrimp and Jalapeno Cheddar Hemp Grits Bowl,Protein Plus,Entree,Protein : 40g | Carbs : 14g,Roasted Shrimp and Jalapeno Cheddar Hemp Grits Bowl,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
27,simple,,Roasted Shrimp and Jalapeno Cheddar Hemp Grits Bowl,Protein Plus,Entree,Protein : 40g | Carbs : 14g,Roasted Shrimp and Jalapeno Cheddar Hemp Grits Bowl,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
92,simple,,Salmon Chipotle,Paleo,Entree,Protein : 33g | Carbs : 31g,Salmon Chipotle,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
46,simple,,Salmon Chipotle,Paleo,Entree,Protein : 33g | Carbs : 31g,Salmon Chipotle,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
77,simple,,Salmon Chipotle,Paleo,Entree,Protein : 33g | Carbs : 31g,Salmon Chipotle,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Paleo,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
9,simple,,Salsa Verde Salmon Casserole With Rice And Beans,Protein Plus,Entree,Protein : 36g | Carbs : 42g,Salsa Verde Salmon Casserole With Rice And Beans,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
24,simple,,Scrambled Eggs and Hash Browns,Protein Plus,Breakfast,Protein : 18g | Carbs : 23g,Scrambled Eggs and Hash Browns,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
26,simple,,Scrambled Eggs and Hash Browns with Beyond Sausage,Protein Plus,Breakfast,Protein : 30g | Carbs : 26g,Scrambled Eggs and Hash Browns with Beyond Sausage,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
25,simple,,Scrambled Eggs and Hash Browns with Maple Sausage,Protein Plus,Breakfast,Protein : 30g | Carbs : 28g,Scrambled Eggs and Hash Browns with Maple Sausage,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Protein Plus,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
103,simple,,Scrambled Eggs With Sausage And Peppers,Keto,Breakfast,Protein : 35g | Carbs : 10g,Scrambled Eggs With Sausage And Peppers,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
38,simple,,Scrambled Eggs With Sausage And Peppers,Keto,Breakfast,Protein : 35g | Carbs : 10g,Scrambled Eggs With Sausage And Peppers,1,0,visible,,,,,,,,,,0,0,,,,,,,,,Keto,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
118,simple,,Seasoned Salmon (16oz),Bulk,Bulk,Protein : 29g | Carbs : 0g,Seasoned Salmon (16oz),1,0,visible,,,,,,,,,,0,0,,,,,,,,,Bulk,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
